Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
23820325,08/17/2012 08:29:29 AM,10/17/2012 06:30:44 AM,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery,10075,1101 LEXINGTON AVENUE,LEXINGTON AVENUE,EAST 77 STREET,EAST 78 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,10/16/2012 08:29:29 AM,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after your initial complaint, please make a new complaint.",10/17/2012 06:25:25 AM,08 MANHATTAN,1014120022,MANHATTAN,995398,221185,PHONE,Unspecified,MANHATTAN,,,,,,,,40.773771,-73.9597507,"(40.773771, -73.9597507)"
41737153,02/19/2019 11:21:04 AM,02/19/2019 12:42:57 PM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11223,1684 WEST 10 STREET,WEST 10 STREET,AVENUE P,KINGS HIGHWAY,,,ADDRESS,BROOKLYN,,Precinct,Closed,02/19/2019 07:21:04 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,02/19/2019 12:42:57 PM,11 BROOKLYN,3066210042,BROOKLYN,988921,160073,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.6060385,-73.983178,"(40.6060385, -73.983178)"
41737154,02/19/2019 11:09:33 AM,02/19/2019 12:36:50 PM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11374,65-28 102 STREET,102 STREET,65 ROAD,66 AVENUE,,,ADDRESS,REGO PARK,,Precinct,Closed,02/19/2019 07:09:33 PM,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,02/19/2019 12:36:50 PM,06 QUEENS,4021160041,QUEENS,1025132,205170,MOBILE,Unspecified,QUEENS,,,,,,,,40.7297264,-73.8524952,"(40.7297264, -73.8524952)"
41737156,02/19/2019 08:57:06 PM,02/20/2019 11:48:51 AM,DOT,Department of Transportation,Street Condition,Defective Hardware,Street,10036,435 WEST 44 STREET,WEST 44 STREET,9 AVENUE,10 AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,03/01/2019 08:57:06 PM,The City inspected the condition you reported and asked the Department of Environmental Protection to address the issue.,02/20/2019 11:48:51 AM,04 MANHATTAN,1010540114,MANHATTAN,986246,216241,PHONE,Unspecified,MANHATTAN,,,,,,,,40.7602078,-73.992795,"(40.7602078, -73.992795)"
41737158,02/19/2019 04:58:53 PM,01/15/2020 08:03:34 AM,DOT,Department of Transportation,Street Sign - Damaged,Other/Unknown,Street,11209,266 73 STREET,73 STREET,RIDGE BOULEVARD,3 AVENUE,RIDGE BOULEVARD,3 AVENUE,ADDRESS,BROOKLYN,,,Closed,08/18/2019 03:29:05 PM,The Department of Transportation has completed the request or corrected the condition.,01/15/2020 01:03:35 PM,10 BROOKLYN,3059170033,BROOKLYN,976405,169924,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6330752,-74.0282642,"(40.6330752, -74.0282642)"
41737159,02/19/2019 01:33:09 PM,02/26/2019 09:25:44 AM,DOT,Department of Transportation,Street Sign - Damaged,Other/Unknown,Street,10310,,,,,COUGHLAN AVENUE,BROADWAY,INTERSECTION,STATEN ISLAND,,N/A,Closed,03/11/2019 07:08:58 AM,The Department of Transportation has completed the request or corrected the condition.,02/26/2019 09:25:44 AM,01 STATEN ISLAND,,STATEN ISLAND,952622,166757,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.6243294,-74.1139356,"(40.6243294, -74.1139356)"
41737161,02/19/2019 02:14:52 PM,02/19/2019 10:12:36 PM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10461,1963 MAYFLOWER AVENUE,MAYFLOWER AVENUE,ST THERESA AVENUE,WILKINSON AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,02/19/2019 10:14:52 PM,The Police Department responded and upon arrival those responsible for the condition were gone.,02/19/2019 10:12:36 PM,10 BRONX,2042310035,BRONX,1030211,249335,PHONE,Unspecified,BRONX,,,,,,,,40.8509223,-73.8338677,"(40.8509223, -73.8338677)"
41737162,02/19/2019 04:43:36 PM,02/20/2019 05:17:43 AM,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,10473,1999 GILDERSLEEVE AVENUE,GILDERSLEEVE AVENUE,PUGSLEY AVENUE,HUSSON AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,02/20/2019 12:43:36 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,02/20/2019 05:17:43 AM,09 BRONX,2034590001,BRONX,1025409,234375,MOBILE,Unspecified,BRONX,,,,,,,,40.8098851,-73.8513169,"(40.8098851, -73.8513169)"
41737163,02/19/2019 10:15:05 PM,02/20/2019 02:17:20 AM,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11369,26-41 94 STREET,94 STREET,ASTORIA BOULEVARD,30 AVENUE,,,ADDRESS,EAST ELMHURST,,Precinct,Closed,02/20/2019 06:15:05 AM,The Police Department issued a summons in response to the complaint.,02/20/2019 02:17:20 AM,03 QUEENS,4013740145,QUEENS,1018832,216997,PHONE,Unspecified,QUEENS,,,,,,,,40.7622154,-73.8751651,"(40.7622154, -73.8751651)"
41737164,02/19/2019 08:11:17 AM,02/19/2019 10:01:47 AM,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11435,137-21 83 AVENUE,83 AVENUE,MANTON STREET,139 STREET,,,ADDRESS,JAMAICA,,Precinct,Closed,02/19/2019 04:11:17 PM,The Police Department responded to the complaint and determined that police action was not necessary.,02/19/2019 10:01:47 AM,08 QUEENS,4096660080,QUEENS,1034065,199007,PHONE,Unspecified,QUEENS,,,,,,,,40.7127647,-73.8203101,"(40.7127647, -73.8203101)"
41737165,02/19/2019 04:06:03 PM,02/21/2019 10:24:09 AM,DOT,Department of Transportation,Street Condition,Defective Hardware,Street,10314,1434 FOREST HILL ROAD,FOREST HILL ROAD,TRAVIS AVENUE,LEASON PLACE,,,ADDRESS,STATEN ISLAND,,N/A,Closed,03/01/2019 04:06:03 PM,The City inspected the condition you reported and asked the Department of Environmental Protection to address the issue.,02/21/2019 10:24:09 AM,02 STATEN ISLAND,5023900397,STATEN ISLAND,943140,152331,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.5846941,-74.1480053,"(40.5846941, -74.1480053)"
41737166,02/19/2019 11:19:25 AM,02/19/2019 02:45:10 PM,DOT,Department of Transportation,Street Condition,Line/Marking - Faded,Street,11423,,,,,FRANCIS LEWIS BOULEVARD,JAMAICA AVENUE,INTERSECTION,HOLLIS,,N/A,Closed,03/21/2019 11:19:25 AM,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",02/19/2019 02:45:10 PM,12 QUEENS,,QUEENS,1052434,199457,PHONE,Unspecified,QUEENS,,,,,,,,40.7138774,-73.7540462,"(40.7138774, -73.7540462)"
41737169,02/19/2019 10:54:00 AM,03/06/2019 02:15:00 PM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,10011,WEST 15 STREET,WEST 15 STREET,5 AVENUE,6 AVENUE,,,BLOCKFACE,NEW YORK,,N/A,Closed,,The Department of Environmental Protection investigated this complaint and repaired or replaced the hydrant.,03/06/2019 02:15:00 PM,05 MANHATTAN,,MANHATTAN,,,OTHER,Unspecified,MANHATTAN,,,,,,,,,,
41737173,02/19/2019 09:48:24 AM,03/12/2019 11:44:16 AM,DOT,Department of Transportation,Bus Stop Shelter Complaint,Damaged Other,Bus Stop Shelter,10029,,,,,EAST 111 STREET,MADISON AVENUE,INTERSECTION,NEW YORK,,N/A,Closed,04/05/2019 09:48:24 AM,The contractor has reported that the requested work has been completed.,03/12/2019 11:44:16 AM,11 MANHATTAN,,MANHATTAN,998876,229576,PHONE,Unspecified,MANHATTAN,,,,,,,,40.796797,-73.9471753,"(40.796797, -73.9471753)"
41737174,02/19/2019 01:49:00 PM,02/20/2019 02:00:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Veh Signal Visor,,,,,,,MAURICE AVE,BORDEN AVE,INTERSECTION,,,N/A,Closed,,Service Request status for this request is available on the Department of Transportation?s website. Please click the ?Learn More? link below.,02/20/2019 02:00:00 AM,Unspecified QUEENS,,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,,,,,,,
41737180,02/19/2019 10:31:00 AM,02/22/2019 01:29:00 PM,DSNY,Department of Sanitation,Electronics Waste Appointment,Ewaste appointment,Sidewalk,11373,94-18 57 AVENUE,57 AVENUE,94 STREET,JUNCTION BOULEVARD,,,ADDRESS,Elmhurst,,,Closed,,The Department of Sanitation did not find any E-Waste at the location. Call 311 to make another appointment if you still need E-Waste removal.,02/22/2019 01:29:00 PM,04 QUEENS,4019100014,QUEENS,1021090,207552,PHONE,Unspecified,QUEENS,,,,,,,,40.7362822,-73.8670659,"(40.7362822, -73.8670659)"
41737181,02/19/2019 04:52:53 PM,02/22/2019 12:47:10 PM,DOT,Department of Transportation,Street Condition,Failed Street Repair,Street,11219,12 AVENUE,12 AVENUE,OVINGTON AVENUE,69 STREET,,,BLOCKFACE,BROOKLYN,,N/A,Closed,03/01/2019 04:52:53 PM,The City inspected the condition you reported and asked the Department of Environmental Protection to address the issue.,02/22/2019 12:47:10 PM,10 BROOKLYN,,BROOKLYN,982619,167069,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6252421,-74.0058755,"(40.6252421, -74.0058755)"
41737182,02/19/2019 01:44:49 PM,02/19/2019 02:45:10 PM,DOT,Department of Transportation,Street Condition,Line/Marking - Faded,Street,11363,,,,,DOUGLASTON PARKWAY,40 AVENUE,INTERSECTION,LITTLE NECK,,N/A,Closed,03/21/2019 01:44:49 PM,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",02/19/2019 02:45:10 PM,11 QUEENS,,QUEENS,1053613,219808,ONLINE,Unspecified,QUEENS,,,,,,,,40.7697264,-73.7495834,"(40.7697264, -73.7495834)"
41737183,02/19/2019 11:05:37 AM,02/20/2019 01:00:37 PM,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,,11370,19-76 80 STREET,80 STREET,,,,,LATLONG,EAST ELMHURST,,N/A,Closed,02/27/2019 11:17:32 AM,The Department of Parks and Recreation visited the location but could not find the tree condition you reported.,02/20/2019 01:00:37 PM,01 QUEENS,,QUEENS,1014664,220421,MOBILE,Unspecified,QUEENS,,,,,,,,40.7716315,-73.8901954,"(40.7716315, -73.8901954)"
41737185,02/19/2019 12:51:25 PM,02/25/2019 11:13:19 AM,DFTA,Department for the Aging,Case Management Agency Complaint,N/A,Senior Address,11428,,,,,,,ADDRESS,QUEENS VILLAGE,,N/A,Closed,03/05/2019 12:51:25 PM,"The Department for the Aging contacted you and provided the assistance requested. No further updates will be available through 311. If further assistance is needed, please open a new Service Request.",02/25/2019 11:13:19 AM,13 QUEENS,,QUEENS,,,PHONE,Unspecified,QUEENS,,,,,,,,,,
41737188,02/18/2019 10:56:00 AM,02/25/2019 12:00:00 PM,DSNY,Lot Cleaning,Vacant Lot,8 Request to Clean Vacant Lot,Lot,10018,401 WEST 37 STREET,WEST 37 STREET,9 AVENUE,LINCOLN TUNNEL APPROACH,,,ADDRESS,NEW YORK,,N/A,Closed,,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",02/25/2019 12:00:00 PM,04 MANHATTAN,1007350025,MANHATTAN,985633,214467,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7553387,-73.9950081,"(40.7553387, -73.9950081)"
41737189,02/19/2019 09:08:04 PM,02/20/2019 09:10:48 AM,NYPD,New York City Police Department,Illegal Parking,Unauthorized Bus Layover,Street/Sidewalk,11224,2217 MERMAID AVENUE,MERMAID AVENUE,WEST 22 STREET,WEST 23 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,02/20/2019 05:08:04 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,02/20/2019 09:10:48 AM,13 BROOKLYN,3070160097,BROOKLYN,987223,149179,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.5761374,-73.9892979,"(40.5761374, -73.9892979)"
41737190,02/19/2019 09:36:00 PM,02/20/2019 05:18:56 PM,NYPD,New York City Police Department,Illegal Parking,Unauthorized Bus Layover,Street/Sidewalk,11210,2401 FARRAGUT ROAD,FARRAGUT ROAD,EAST 24 STREET,BEDFORD AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,02/20/2019 05:36:00 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,02/20/2019 05:18:56 PM,14 BROOKLYN,3052240002,BROOKLYN,996950,170895,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.6357347,-73.9542422,"(40.6357347, -73.9542422)"
41737193,02/19/2019 03:52:00 PM,02/21/2019 02:46:00 PM,DSNY,Department of Sanitation,Electronics Waste Appointment,Ewaste appointment,Sidewalk,10306,30 MOBILE AVENUE,MOBILE AVENUE,COVERLY STREET,AMBOY ROAD,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Sanitation collected the E-waste.,02/21/2019 02:46:00 PM,03 STATEN ISLAND,5043380033,STATEN ISLAND,949581,146880,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.5697598,-74.1247883,"(40.5697598, -74.1247883)"
41737194,02/19/2019 01:16:32 PM,02/19/2019 02:11:16 PM,DOHMH,Department of Health and Mental Hygiene,Indoor Air Quality,Dust from Construction,3+ Family Apartment Building,10471,4901 HENRY HUDSON PARKWAY,HENRY HUDSON PARKWAY,HENRY HUDSON PARKWAY ET 21 SB,WEST 249 STREET,,,ADDRESS,BRONX,,N/A,Closed,04/05/2019 01:16:32 PM,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 45 days of the Service Request submission date. Please note the Service Request number for future reference.,02/19/2019 02:11:16 PM,08 BRONX,2059120091,BRONX,1009612,266041,PHONE,Unspecified,BRONX,,,,,,,,40.8968583,-73.9082623,"(40.8968583, -73.9082623)"
41737195,02/19/2019 12:00:00 AM,02/21/2019 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11221,525 MONROE STREET,MONROE STREET,,,,,LATLONG,BROOKLYN,,N/A,Closed,03/21/2019 10:11:03 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action. Complaints of this type usually result in an inspection. Please call 311 in 30 days from the date of your complaint for status,02/21/2019 12:00:00 AM,Unspecified BROOKLYN,,BROOKLYN,1001975,189708,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.6873664,-73.9360877,"(40.6873664, -73.9360877)"
41737199,02/18/2019 03:32:00 PM,02/19/2019 12:00:00 PM,DSNY,Manhattan 08,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,10075,508 EAST 79 STREET,EAST 79 STREET,YORK AVENUE,EAST END AVENUE,,,ADDRESS,NEW YORK,,DSNY Garage,Closed,,The Department of Sanitation removed the items.,02/19/2019 12:00:00 PM,08 MANHATTAN,1014900044,MANHATTAN,998173,220208,PHONE,Unspecified,MANHATTAN,,,,,,,,40.7710854,-73.9497338,"(40.7710854, -73.9497338)"
41737201,02/19/2019 09:27:00 AM,02/19/2019 12:00:00 PM,DSNY,Queens East 12,Derelict Vehicles,14 Derelict Vehicles,Street,11434,178-22 134 AVENUE,134 AVENUE,FARMERS BOULEVARD,THURSTON STREET,,,ADDRESS,Jamaica,,N/A,Closed,,The Department of Sanitation removed the items.,02/19/2019 09:27:00 AM,12 QUEENS,4129890068,QUEENS,1050058,185859,PHONE,Unspecified,QUEENS,,,,,,,,40.6765721,-73.7627497,"(40.6765721, -73.7627497)"
41737202,02/19/2019 12:16:00 AM,02/19/2019 12:00:00 PM,DSNY,Queens East 12,Derelict Vehicles,14 Derelict Vehicles,Street,11432,88-12 161 STREET,161 STREET,HILLSIDE AVENUE,89 AVENUE,,,ADDRESS,Jamaica,,N/A,Closed,,The Department of Sanitation removed the items.,02/19/2019 12:16:00 AM,12 QUEENS,4097640068,QUEENS,1039471,197198,MOBILE,Unspecified,QUEENS,,,,,,,,40.7077674,-73.8008247,"(40.7077674, -73.8008247)"
41737204,02/19/2019 11:16:00 AM,02/19/2019 12:00:00 PM,DSNY,A - Queens,Other Enforcement,E2A Storage Of Receptacles,Sidewalk,11105,22-37 38 STREET,38 STREET,DITMARS BOULEVARD,23 AVENUE,,,ADDRESS,Astoria,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,02/19/2019 12:00:00 PM,01 QUEENS,4008050018,QUEENS,1009752,220704,ONLINE,Unspecified,QUEENS,,,,,,,,40.772421,-73.9079282,"(40.772421, -73.9079282)"
41737206,02/19/2019 10:19:00 AM,02/23/2019 12:00:00 PM,DSNY,A - Staten Island,Recycling Enforcement,ER1 Resident Recyc. (Owner/Manager,Sidewalk,10305,12 FLORIDA AVENUE,FLORIDA AVENUE,MAJOR AVENUE,MC CLEAN AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,02/23/2019 12:00:00 PM,02 STATEN ISLAND,,STATEN ISLAND,965996,157619,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.5992852,-74.0657329,"(40.5992852, -74.0657329)"
41737207,02/20/2019 01:02:56 AM,02/20/2019 08:00:45 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10468,2285 SEDGWICK AVENUE,SEDGWICK AVENUE,WEST 183 STREET,BEND,,,ADDRESS,BRONX,,Precinct,Closed,02/20/2019 09:02:56 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,02/20/2019 08:00:45 AM,07 BRONX,2032340049,BRONX,1009217,253170,ONLINE,Unspecified,BRONX,,,,,,,,40.8615325,-73.909739,"(40.8615325, -73.909739)"
41737208,02/19/2019 12:57:54 PM,03/29/2019 09:29:44 AM,DOHMH,Department of Health and Mental Hygiene,Drinking Water,Illness Caused by Drinking Water,School,10004,25 BROADWAY,BROADWAY,BATTERY PLACE,MORRIS STREET,,,ADDRESS,NEW YORK,,N/A,Closed,03/21/2019 12:57:54 PM,The Department of Health and Mental Hygiene has investigated the Service Request and no violations were cited.,03/29/2019 09:29:44 AM,01 MANHATTAN,1000130027,MANHATTAN,980542,196401,PHONE,Unspecified,MANHATTAN,,,,,,,,40.7057513,-74.0133739,"(40.7057513, -74.0133739)"
41737209,02/19/2019 06:06:34 AM,02/21/2019 10:36:41 AM,DOT,Department of Transportation,Street Condition,Cave-in,Street,10470,335 EAST 241 STREET,EAST 241 STREET,KATONAH AVENUE,MARTHA AVENUE,,,ADDRESS,BRONX,,N/A,Closed,03/01/2019 06:06:34 AM,The City inspected the condition you reported and asked the Department of Environmental Protection to address the issue.,02/21/2019 10:36:41 AM,12 BRONX,2033900040,BRONX,1021008,267850,ONLINE,Unspecified,BRONX,,,,,,,,40.9017833,-73.8670315,"(40.9017833, -73.8670315)"
41737211,02/19/2019 01:06:19 PM,02/21/2019 11:04:27 AM,DOT,Department of Transportation,Street Condition,Cave-in,Street,11232,454 37 STREET,37 STREET,4 AVENUE,5 AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,03/01/2019 01:06:19 PM,The City inspected the condition you reported and asked the Department of Environmental Protection to address the issue.,02/21/2019 11:04:27 AM,07 BROOKLYN,3007010029,BROOKLYN,983203,177181,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6529975,-74.0037733,"(40.6529975, -74.0037733)"
47579907,09/15/2020 01:50:00 PM,09/18/2020 12:00:00 PM,DSNY,A - Staten Island,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10309,1530 DRUMGOOLE ROAD EAST,DRUMGOOLE ROAD EAST,FOSTER ROAD,PARKWOOD AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,09/18/2020 12:00:00 PM,03 STATEN ISLAND,5069070035,STATEN ISLAND,927690,132998,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.531543844400666,-74.20346699310521,"(40.531543844400666, -74.20346699310521)"
41737218,02/19/2019 12:00:00 AM,03/22/2019 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10304,68 UPTON STREET,UPTON STREET,,,,,LATLONG,STATEN ISLAND,,N/A,Closed,03/21/2019 10:13:40 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action. Complaints of this type usually result in an inspection. Please call 311 in 30 days from the date of your complaint for status,02/26/2019 09:36:07 AM,Unspecified STATEN ISLAND,,STATEN ISLAND,957357,157997,MOBILE,Unspecified,STATEN ISLAND,,,,,,,,40.6003034,-74.0968435,"(40.6003034, -74.0968435)"
